         distance[pc] =    137.00000000000000     
  inclination[degree] =    37.500000000000000     
      number of lines =            7
      number of velos =          152

 line#01  OI         002->001 SYS=04  lam =   63.18367mic  nu =   4744.77749GHz
    line flux [W/m^2] =   4.07131679169109019E-017
    cont flux    [Jy] =    22.470086144629906     
 velo[km/s]      flux[Jy]     fconv[Jy]
 -5.079E+00  1.210171E+01  1.210171E+01
 -4.850E+00  1.211493E+01  1.211493E+01
 -4.622E+00  1.213062E+01  1.213062E+01
 -4.395E+00  1.214871E+01  1.214871E+01
 -4.168E+00  1.217018E+01  1.217018E+01
 -3.942E+00  1.219717E+01  1.219717E+01
 -3.717E+00  1.223158E+01  1.223158E+01
 -3.493E+00  1.227382E+01  1.227382E+01
 -3.270E+00  1.232344E+01  1.232344E+01
 -3.047E+00  1.238161E+01  1.238161E+01
 -2.825E+00  1.245265E+01  1.245265E+01
 -2.604E+00  1.254272E+01  1.254272E+01
 -2.383E+00  1.266058E+01  1.266058E+01
 -2.163E+00  1.282939E+01  1.282939E+01
 -1.944E+00  1.314374E+01  1.314374E+01
 -1.726E+00  1.413411E+01  1.413411E+01
 -1.508E+00  1.940736E+01  1.940736E+01
 -1.291E+00  4.393318E+01  4.393318E+01
 -1.074E+00  9.670951E+01  9.670951E+01
 -8.580E-01  1.279632E+02  1.279632E+02
 -6.426E-01  1.119876E+02  1.119876E+02
 -4.278E-01  9.352068E+01  9.352068E+01
 -2.136E-01  8.586469E+01  8.586469E+01
  0.000E+00  8.388289E+01  8.388289E+01
  2.136E-01  8.586469E+01  8.586469E+01
  4.278E-01  9.352068E+01  9.352068E+01
  6.426E-01  1.119876E+02  1.119876E+02
  8.580E-01  1.279632E+02  1.279632E+02
  1.074E+00  9.670951E+01  9.670951E+01
  1.291E+00  4.393318E+01  4.393318E+01
  1.508E+00  1.940736E+01  1.940736E+01
  1.726E+00  1.413411E+01  1.413411E+01
  1.944E+00  1.314374E+01  1.314374E+01
  2.163E+00  1.282939E+01  1.282939E+01
  2.383E+00  1.266058E+01  1.266058E+01
  2.604E+00  1.254272E+01  1.254272E+01
  2.825E+00  1.245265E+01  1.245265E+01
  3.047E+00  1.238161E+01  1.238161E+01
  3.270E+00  1.232344E+01  1.232344E+01
  3.493E+00  1.227382E+01  1.227382E+01
  3.717E+00  1.223158E+01  1.223158E+01
  3.942E+00  1.219717E+01  1.219717E+01
  4.168E+00  1.217018E+01  1.217018E+01
  4.395E+00  1.214871E+01  1.214871E+01
  4.622E+00  1.213062E+01  1.213062E+01
  4.850E+00  1.211493E+01  1.211493E+01
  5.079E+00  1.210171E+01  1.210171E+01
  5.309E+00  1.209095E+01  1.209095E+01
  5.540E+00  1.208219E+01  1.208219E+01
  5.772E+00  1.207511E+01  1.207511E+01
  6.005E+00  1.206950E+01  1.206950E+01
  6.239E+00  1.206497E+01  1.206497E+01
  6.473E+00  1.206111E+01  1.206111E+01
  6.709E+00  1.205770E+01  1.205770E+01
  6.946E+00  1.205464E+01  1.205464E+01
  7.184E+00  1.205184E+01  1.205184E+01
  7.423E+00  1.204926E+01  1.204926E+01
  7.663E+00  1.204685E+01  1.204685E+01
  7.904E+00  1.204459E+01  1.204459E+01
  8.147E+00  1.204247E+01  1.204247E+01
  8.391E+00  1.204050E+01  1.204050E+01
  8.636E+00  1.203866E+01  1.203866E+01
  8.882E+00  1.203696E+01  1.203696E+01
  9.130E+00  1.203538E+01  1.203538E+01
  9.379E+00  1.203391E+01  1.203391E+01
  9.630E+00  1.203253E+01  1.203253E+01
  9.882E+00  1.203123E+01  1.203123E+01
  1.014E+01  1.203000E+01  1.203000E+01
  1.039E+01  1.202884E+01  1.202884E+01
  1.065E+01  1.202774E+01  1.202774E+01
  1.091E+01  1.202670E+01  1.202670E+01
  1.117E+01  1.202573E+01  1.202573E+01
  1.143E+01  1.202482E+01  1.202482E+01
  1.170E+01  1.202399E+01  1.202399E+01
  1.196E+01  1.202322E+01  1.202322E+01
  1.223E+01  1.202252E+01  1.202252E+01
  1.250E+01  1.202187E+01  1.202187E+01
  1.278E+01  1.202127E+01  1.202127E+01
  1.305E+01  1.202069E+01  1.202069E+01
  1.333E+01  1.202013E+01  1.202013E+01
  1.361E+01  1.201960E+01  1.201960E+01
  1.390E+01  1.201908E+01  1.201908E+01
  1.419E+01  1.201859E+01  1.201859E+01
  1.448E+01  1.201812E+01  1.201812E+01
  1.478E+01  1.201767E+01  1.201767E+01
  1.508E+01  1.201723E+01  1.201723E+01
  1.538E+01  1.201680E+01  1.201680E+01
  1.569E+01  1.201638E+01  1.201638E+01
  1.601E+01  1.201599E+01  1.201599E+01
  1.633E+01  1.201561E+01  1.201561E+01
  1.666E+01  1.201527E+01  1.201527E+01
  1.700E+01  1.201496E+01  1.201496E+01
  1.735E+01  1.201469E+01  1.201469E+01
  1.771E+01  1.201445E+01  1.201445E+01
  1.808E+01  1.201424E+01  1.201424E+01
  1.848E+01  1.201404E+01  1.201404E+01
  1.890E+01  1.201383E+01  1.201383E+01
  1.937E+01  1.201362E+01  1.201362E+01
  2.000E+01  1.201336E+01  1.201336E+01

 line#04  CO         019->018 SYS=12  lam =  144.78416mic  nu =   2070.61643GHz
    line flux [W/m^2] =   5.84698004017343369E-019
    cont flux    [Jy] =    12.919628961639582     
 velo[km/s]      flux[Jy]     fconv[Jy]
  1.000E+99  1.291963E+01  1.291963E+01
 -4.000E+01  1.291963E+01  1.291963E+01
 -3.874E+01  1.291993E+01  1.291993E+01
 -3.780E+01  1.292048E+01  1.292048E+01
 -3.695E+01  1.292117E+01  1.292117E+01
 -3.617E+01  1.292226E+01  1.292226E+01
 -3.542E+01  1.292375E+01  1.292375E+01
 -3.470E+01  1.292532E+01  1.292532E+01
 -3.400E+01  1.292701E+01  1.292701E+01
 -3.332E+01  1.292866E+01  1.292866E+01
 -3.266E+01  1.293040E+01  1.293040E+01
 -3.202E+01  1.293198E+01  1.293198E+01
 -3.139E+01  1.293349E+01  1.293349E+01
 -3.077E+01  1.293498E+01  1.293498E+01
 -3.016E+01  1.293670E+01  1.293670E+01
 -2.955E+01  1.293800E+01  1.293800E+01
 -2.896E+01  1.293897E+01  1.293897E+01
 -2.838E+01  1.293980E+01  1.293980E+01
 -2.780E+01  1.294043E+01  1.294043E+01
 -2.723E+01  1.294071E+01  1.294071E+01
 -2.666E+01  1.294141E+01  1.294141E+01
 -2.611E+01  1.294233E+01  1.294233E+01
 -2.555E+01  1.294343E+01  1.294343E+01
 -2.500E+01  1.294468E+01  1.294468E+01
 -2.446E+01  1.294622E+01  1.294622E+01
 -2.392E+01  1.294811E+01  1.294811E+01
 -2.339E+01  1.295003E+01  1.295003E+01
 -2.286E+01  1.295169E+01  1.295169E+01
 -2.234E+01  1.295494E+01  1.295494E+01
 -2.181E+01  1.295685E+01  1.295685E+01
 -2.130E+01  1.296163E+01  1.296163E+01
 -2.078E+01  1.296351E+01  1.296351E+01
 -2.027E+01  1.296951E+01  1.296951E+01
 -1.976E+01  1.297272E+01  1.297272E+01
 -1.926E+01  1.298017E+01  1.298017E+01
 -1.876E+01  1.298340E+01  1.298340E+01
 -1.826E+01  1.299244E+01  1.299244E+01
 -1.776E+01  1.299539E+01  1.299539E+01
 -1.727E+01  1.300648E+01  1.300648E+01
 -1.678E+01  1.301092E+01  1.301092E+01
 -1.629E+01  1.301924E+01  1.301924E+01
 -1.581E+01  1.302818E+01  1.302818E+01
 -1.533E+01  1.303244E+01  1.303244E+01
 -1.485E+01  1.304116E+01  1.304116E+01
 -1.437E+01  1.305241E+01  1.305241E+01
 -1.389E+01  1.306347E+01  1.306347E+01
 -1.342E+01  1.307571E+01  1.307571E+01
 -1.295E+01  1.308803E+01  1.308803E+01
 -1.248E+01  1.309714E+01  1.309714E+01
 -1.201E+01  1.310536E+01  1.310536E+01
 -1.154E+01  1.311645E+01  1.311645E+01
 -1.108E+01  1.312441E+01  1.312441E+01
 -1.062E+01  1.312869E+01  1.312869E+01
 -1.016E+01  1.313465E+01  1.313465E+01
 -9.701E+00  1.314112E+01  1.314112E+01
 -9.244E+00  1.314586E+01  1.314586E+01
 -8.789E+00  1.315485E+01  1.315485E+01
 -8.336E+00  1.316836E+01  1.316836E+01
 -7.885E+00  1.318375E+01  1.318375E+01
 -7.435E+00  1.320361E+01  1.320361E+01
 -6.986E+00  1.322113E+01  1.322113E+01
 -6.540E+00  1.323262E+01  1.323262E+01
 -6.094E+00  1.323686E+01  1.323686E+01
 -5.650E+00  1.323310E+01  1.323310E+01
 -5.208E+00  1.322564E+01  1.322564E+01
